Graph,Top-k Acc,Random Acc,Vanilla Acc,All Features Acc,Top-k - Random,Top-k - Vanilla,Top-k - All,All - Random,All - Vanilla,Top-k Features
Roman-empire,0.2390,0.2557,0.2352,0.2496,-0.0166,0.0038,-0.0105,-0.0061,0.0143,25;21;8;7;6;22
Amazon-ratings,0.2869,0.3739,0.3693,0.3718,-0.0870,-0.0824,-0.0849,-0.0021,0.0024,25;21;6;22;8;7
Minesweeper,0.8003,0.8003,0.8003,0.8003,0.0000,0.0000,0.0000,0.0000,0.0000,25;21;8;7;6;22
Cora,0.6525,0.6199,0.3653,0.6279,0.0326,0.2872,0.0246,0.0080,0.2626,25;4;21;6;22;5
CiteSeer,0.3373,0.4256,0.2847,0.5053,-0.0882,0.0526,-0.1679,0.0797,0.2206,25;21;6;22;8;7
PubMed,0.6319,0.4557,0.4751,0.4501,0.1762,0.1568,0.1818,-0.0057,-0.0250,20;19;5;4;23;9
Photo,0.7961,0.6819,0.5054,0.8113,0.1142,0.2906,-0.0153,0.1294,0.3059,20;19;5;4;23;9
Computers,0.7041,0.6527,0.4914,0.6762,0.0514,0.2127,0.0279,0.0235,0.1848,19;20;5;4;23;10
CS,0.4606,0.3394,0.2346,0.3421,0.1212,0.2260,0.1185,0.0026,0.1074,25;4;5;20;19;21
Physics,0.7453,0.6907,0.5349,0.5280,0.0546,0.2104,0.2173,-0.1626,-0.0069,25;4;5;20;21;6
Cora_ML,0.7151,0.6984,0.4023,0.6756,0.0167,0.3127,0.0395,-0.0228,0.2732,25;5;4;20;19;9
DBLP,0.6519,0.6661,0.5767,0.5776,-0.0142,0.0752,0.0743,-0.0885,0.0008,25;4;5;20;19;9
USA,0.4846,0.6176,0.5238,0.5924,-0.1331,-0.0392,-0.1078,-0.0252,0.0686,25;7;8;21;22;6
Barabasi_300_8_path_100_28_1.pickle,0.8312,0.8646,0.8854,0.8792,-0.0333,-0.0542,-0.0479,0.0146,-0.0062,25;21;6;4;22;8
Barabasi_200_5_path_50_12_1.pickle,0.8519,0.8704,0.9148,0.9000,-0.0185,-0.0630,-0.0481,0.0296,-0.0148,25;21;6;22;4;8
Barabasi_100_5_grid_50_11_3.pickle,0.8758,0.9000,0.9242,0.9182,-0.0242,-0.0485,-0.0424,0.0182,-0.0061,25;21;8;7;6;22
Barabasi_300_8_house_100_30_2.pickle,0.8000,0.9292,0.8542,0.9313,-0.1292,-0.0542,-0.1313,0.0021,0.0771,25;21;6;22;8;7
Barabasi_200_5_star_50_12_4.pickle,1.0000,1.0000,0.9926,0.9889,0.0000,0.0074,0.0111,-0.0111,-0.0037,25;4;21;6;22;5
Erdos_500_10000_house_300_121_2.pickle,0.6525,0.9658,0.8125,0.9025,-0.3133,-0.1600,-0.2500,-0.0633,0.0900,25;21;6;22;8;7
