Graph,Top-k STD,Random STD,Vanilla STD,All Features STD
Europe,0.0295,0.0568,0.0257,0.0328
Roman-empire,0.0125,0.0254,0.0059,0.0031
Amazon-ratings,0.0596,0.0049,0.0007,0.0002
Cora,0.0201,0.0134,0.0192,0.0255
CiteSeer,0.0068,0.0413,0.0121,0.0157
PubMed,0.0117,0.0820,0.0024,0.0326
Photo,0.0427,0.0238,0.0046,0.0662
Computers,0.0930,0.0626,0.0078,0.0232
CS,0.0044,0.1659,0.0013,0.0111
Physics,0.0042,0.1049,0.0024,0.0520
Cora_ML,0.0099,0.0205,0.0206,0.0219
DBLP,0.0055,0.0269,0.0065,0.0445
USA,0.0830,0.0348,0.0386,0.0182
Barabasi_300_8_path_100_28_1.pickle,0.0177,0.0409,0.0358,0.0147
Barabasi_200_5_path_50_12_1.pickle,0.0052,0.0228,0.0189,0.0091
Barabasi_100_5_grid_50_11_3.pickle,0.0494,0.0999,0.0281,0.0223
Barabasi_300_8_house_100_30_2.pickle,0.0436,0.0485,0.0340,0.0000
Barabasi_200_5_star_50_12_4.pickle,0.0000,0.0000,0.0052,0.0091
Erdos_500_10000_house_300_121_2.pickle,0.0207,0.0082,0.0094,0.0213
Erdos_500_10000_grid_300_139_3.pickle,0.0667,0.0906,0.0038,0.0690
Erdos_500_10000_star_300_115_4.pickle,0.0000,0.0395,0.0012,0.0153
Barabasi_1100_15_house_200_176_2.pickle,0.0168,0.0564,0.0126,0.0117
Barabasi_1100_15_star_200_172_4.pickle,0.0011,0.0147,0.0039,0.0158
Barabasi_1100_15_cycle_200_176_5.pickle,0.0000,0.0000,0.0000,0.0000
Erdos_1000_16500_path_500_190_1.pickle,0.0170,0.0020,0.0298,0.1381
Erdos_850_17000_path_360_188_1.pickle,0.0216,0.0090,0.0103,0.0646
Erdos_850_17000_house_360_195_2.pickle,0.0824,0.1196,0.0209,0.0105
Erdos_850_17000_grid_360_216_3.pickle,0.0624,0.1599,0.0093,0.0666
Erdos_5500_22000_house_1000_290_1.pickle,0.1867,0.1223,0.0070,0.0483
Erdos_5500_26000_path_1100_315_16.pickle,0.0195,0.0809,0.0018,0.0462
Erdos_6500_22000_house_1000_290_18.pickle,0.0542,0.0227,0.0159,0.0618
Barabasi_4000_10_star_800_439_4.pickle,0.0003,0.0003,0.0031,0.0059
Barabasi_6000_15_path_1000_947_1.pickle,0.0013,0.0177,0.0205,0.0447
Barabasi_8500_19_house_1300_1702_2.pickle,0.0171,0.0471,0.0051,0.0079
Barabasi_8000_18_path_1200_1496_1.pickle,0.0090,0.0067,0.0022,0.0503
Barabasi_6500_15_star_1000_1022_4.pickle,0.0005,0.0366,0.0008,0.0049
Barabasi_18000_30_star_2100_5496_4.pickle,0.0002,0.0014,0.0006,0.1037
Barabasi_18000_30_house_2100_5538_2.pickle,0.0021,0.0317,0.0098,0.0274
Barabasi_18000_30_path_2100_5496_1.pickle,0.0067,0.0494,0.0029,0.0343
Barabasi_20000_32_star_2300_6504_4.pickle,0.0004,0.0009,0.0001,0.0003
Erdos_20000_252000_grid_2350_2825_3.pickle,0.1200,0.1090,0.0067,0.0174
Erdos_20000_252000_star_2350_2637_4.pickle,0.1573,0.0005,0.0012,0.0007
Erdos_20000_252000_path_2350_2637_1.pickle,0.2691,0.0575,0.0134,0.0336
Erdos_20000_252000_house_2350_2684_2.pickle,0.2450,0.0360,0.0071,0.0446
