degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential, coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random, Target
20.0,0.3773584905660377,19.0,3.0,7.55,3.7212229172679243,0.38176045599913083,0.40458015267175573,30.833333333333318,0.13168332030813887,0.0,2.0,3.0,5.0,0.0,0.0,72.0,5.0,30.0,0.2736842105263158,0.19011976047904192,0.05048771254776871,0.08044388541980083,52.0,5.0,-0.1311759805069732,0.0
8.0,0.1509433962264151,20.0,7.0,11.375,3.6721077053920954,0.20514625155068514,0.3419354838709677,23.899999999999988,0.008953049047388669,1.0,3.0,0.0,2.0,1.0,1.0,23.0,4.0,8.0,0.5357142857142857,0.27842227378190254,0.021065751237047844,0.043284167737618444,15.0,5.0,-0.2734771405166097,0.0
9.0,0.16981132075471697,20.0,3.0,10.666666666666666,5.517648452415616,0.2113569650261483,0.3706293706293706,25.416666666666654,0.111421544912111,4.0,4.0,1.0,0.0,1.0,1.0,26.0,5.0,7.0,0.4722222222222222,0.22365988909426987,0.025733321548672295,0.04450739042136599,17.0,5.0,-0.42283551106367917,0.0
4.0,0.07547169811320754,20.0,5.0,13.75,6.139014578904337,0.11494310979319575,0.31547619047619047,21.133333333333326,0.0015844218674407355,2.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,3.0,0.5,0.33636363636363636,0.01177806712041286,0.024299183000083182,3.0,4.0,0.9519610548671641,0.0
3.0,0.05660377358490566,20.0,11.0,16.666666666666668,4.027681991198191,0.10561152504462976,0.3136094674556213,20.633333333333326,0.0,2.0,1.0,0.0,0.0,1.0,1.0,6.0,4.0,1.0,1.0,0.4426229508196721,0.00937133857889161,0.022314737429539665,3.0,3.0,-0.1806200895328538,0.0
5.0,0.09433962264150943,20.0,5.0,10.0,5.513619500836088,0.11406776337645942,0.3045977011494253,20.999999999999993,0.001076439283986454,1.0,1.0,1.0,0.0,1.0,1.0,10.0,4.0,3.0,0.5,0.25,0.014247106890085232,0.02407545607337955,5.0,4.0,0.8073224417139805,0.0
11.0,0.20754716981132074,20.0,3.0,9.909090909090908,5.384397416349399,0.25469641130851517,0.34868421052631576,25.399999999999988,0.020584924267798007,3.0,0.0,5.0,4.0,2.0,2.0,35.0,5.0,12.0,0.43636363636363634,0.2393617021276596,0.028388811262041947,0.05376998861522206,24.0,5.0,-0.13978844194219048,0.0
19.0,0.3584905660377358,20.0,3.0,8.0,4.013136324359632,0.37175766345713457,0.4274193548387097,31.18333333333332,0.3055720807172187,1.0,3.0,2.0,6.0,3.0,3.0,69.0,5.0,29.0,0.29239766081871343,0.1855297157622739,0.050391342975798385,0.07831051971560553,50.0,5.0,0.361649866253902,0.0
12.0,0.22641509433962265,20.0,3.0,9.083333333333334,5.171368828033401,0.25563218275775007,0.40458015267175573,27.68333333333332,0.237273078074965,2.0,1.0,4.0,1.0,4.0,4.0,38.0,5.0,12.0,0.3939393939393939,0.20833333333333334,0.03393486344116707,0.05377088511158563,26.0,5.0,-0.894588222864646,0.0
11.0,0.20754716981132074,19.0,4.0,8.545454545454545,4.120097888590785,0.23143440690554457,0.33544303797468356,24.933333333333323,0.014728238621562285,0.0,2.0,3.0,1.0,0.0,0.0,30.0,4.0,11.0,0.34545454545454546,0.2336448598130841,0.02817470664197612,0.04884506064572103,19.0,5.0,0.2642720120123647,0.0
9.0,0.16981132075471697,20.0,5.0,9.777777777777779,5.553332888711022,0.19792627672159688,0.3375796178343949,24.233333333333324,0.018184190426570695,2.0,0.0,0.0,2.0,2.0,2.0,23.0,4.0,8.0,0.3888888888888889,0.21042084168336672,0.023857478546204996,0.04173890226849666,14.0,5.0,0.0019143291443415229,0.0
12.0,0.22641509433962265,20.0,5.0,9.333333333333334,5.055250296034367,0.26685817393059624,0.34415584415584416,25.599999999999987,0.020625860593204585,2.0,1.0,4.0,3.0,4.0,4.0,38.0,5.0,15.0,0.3939393939393939,0.23730814639905548,0.03040672257478318,0.05634761862260933,26.0,5.0,0.48297095602405965,0.0
