degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential, coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random, Target
15.0,0.3125,17.0,4.0,8.8,3.6000000000000005,0.32397711559197667,0.42857142857142855,27.316666666666652,0.19271636457572,1.0,3.0,5.0,6.0,0.0,0.0,53.0,5.0,19.0,0.3619047619047619,0.2052469135802469,0.04095218818688485,0.06922271236306778,38.0,5.0,-0.22357591771252971,0.0
6.0,0.125,17.0,5.0,11.333333333333334,4.027681991198191,0.15912714588366272,0.35036496350364965,21.16666666666666,0.00860040911667945,2.0,0.0,0.0,0.0,1.0,1.0,12.0,4.0,4.0,0.4,0.336322869955157,0.017404029255088282,0.03400253861220582,6.0,5.0,-2.264593754064448,0.0
12.0,0.25,17.0,5.0,9.75,3.918439315169582,0.27948785597617265,0.39344262295081966,25.099999999999987,0.061544588656603706,3.0,1.0,3.0,0.0,1.0,1.0,38.0,5.0,10.0,0.3939393939393939,0.2393258426966292,0.03246410887198174,0.05969961214230083,26.0,5.0,0.8619233404561979,0.0
9.0,0.1875,17.0,5.0,9.777777777777779,4.262961354055751,0.21528477742714996,0.36923076923076925,23.166666666666654,0.01661525198368127,3.0,1.0,2.0,3.0,1.0,1.0,26.0,5.0,8.0,0.4722222222222222,0.25366876310272535,0.02499803109777808,0.0460021445721513,17.0,5.0,0.16868892364605326,0.0
4.0,0.08333333333333333,17.0,6.0,11.5,4.6097722286464435,0.10829551490853631,0.3310344827586207,19.56666666666666,0.0013895383576234639,2.0,0.0,0.0,1.0,1.0,1.0,8.0,4.0,2.0,0.6666666666666666,0.3111111111111111,0.012471430629139196,0.023163119882013125,4.0,4.0,-1.3030605052853383,0.0
4.0,0.08333333333333333,15.0,4.0,8.25,4.602988159880492,0.06159839462170069,0.36363636363636365,21.033333333333328,0.2301098035140588,0.0,1.0,0.0,1.0,1.0,1.0,5.0,3.0,3.0,0.16666666666666666,0.0625,0.017947818672700067,0.013069463745998525,1.0,2.0,0.4360756640196732,0.0
17.0,0.35416666666666663,15.0,4.0,8.529411764705882,3.2740988353119405,0.3676902406041107,0.41025641025641024,27.599999999999987,0.08225053299560492,0.0,4.0,4.0,5.0,2.0,2.0,67.0,5.0,26.0,0.36764705882352944,0.2144638403990025,0.044684760177934435,0.07861170738012666,50.0,5.0,0.8247157982240195,0.0
10.0,0.20833333333333331,17.0,4.0,9.4,4.2708313008125245,0.2326319383794076,0.40336134453781514,24.566666666666652,0.11415272080165696,2.0,0.0,1.0,4.0,3.0,3.0,29.0,5.0,8.0,0.4222222222222222,0.24869565217391304,0.028717501668015497,0.049703785023212835,19.0,5.0,-0.916688132402025,0.0
12.0,0.25,17.0,5.0,9.333333333333334,4.089281382128433,0.28189514838654806,0.3779527559055118,24.666666666666654,0.025757503401433318,4.0,2.0,2.0,2.0,4.0,4.0,39.0,5.0,11.0,0.4090909090909091,0.26024096385542167,0.03211047891991956,0.06027308683990922,27.0,5.0,-0.3132099151038154,0.0
14.0,0.29166666666666663,17.0,4.0,9.071428571428571,3.7695070862739315,0.30577034093628963,0.43243243243243246,27.116666666666656,0.20679837852084412,2.0,0.0,6.0,1.0,3.0,3.0,46.0,5.0,14.0,0.3516483516483517,0.20912220309810672,0.03925200337662866,0.06530001599704448,32.0,5.0,-0.1273674107020582,0.0
9.0,0.1875,17.0,3.0,10.333333333333334,4.521553322083512,0.21404857267287072,0.38095238095238093,23.666666666666657,0.20046884016298905,3.0,1.0,0.0,0.0,1.0,1.0,23.0,5.0,6.0,0.3888888888888889,0.24084778420038536,0.02693917899239355,0.045702101209332685,14.0,5.0,0.5235671936871463,0.0
8.0,0.16666666666666666,15.0,3.0,8.75,4.175823272122517,0.16723702991324874,0.375,22.99999999999999,0.19589422580270513,0.0,2.0,4.0,4.0,2.0,2.0,17.0,4.0,6.0,0.32142857142857145,0.21282798833819241,0.02484631494594533,0.03571020207909278,9.0,5.0,0.08978050044162539,0.0
