degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential, coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random, Target
15.0,0.012615643397813289,230.0,8.0,44.86666666666667,52.956418140034934,0.0016603946959337526,0.335419896815192,424.93333333332976,2.546489124802738e-05,2.0,2.0,0.0,1.0,0.0,0.0,71.0,8.0,11.0,0.5333333333333333,0.16996657238364618,0.0008500840799784601,3.666357213358938e-05,56.0,13.0,-1.832221449078494,1.0
6.0,0.005046257359125315,53.0,5.0,21.0,19.061304607327727,0.00021883441729798555,0.2791334097580456,351.1166666666652,5.391498153223144e-05,4.0,0.0,0.0,2.0,1.0,2.0,15.0,5.0,3.0,0.6,0.10227272727272728,0.0006609262585221119,3.043394855665335e-06,9.0,4.0,-2.0586202418436135,2.0
42.0,0.03532380151387721,230.0,2.0,27.904761904761905,46.59644863016184,0.003303636680218764,0.36929751616206724,478.93333333332873,0.01672628011405169,3.0,4.0,6.0,8.0,0.0,0.0,202.0,8.0,49.0,0.18583042973286876,0.061850911608585274,0.003178458255593421,0.00011471340666077295,160.0,10.0,0.8067937075734289,0.0
5.0,0.004205214465937763,230.0,3.0,58.4,87.25732060979182,0.0007893299442343788,0.33352540431694183,418.1833333333298,0.001975255297357977,2.0,0.0,0.0,3.0,0.0,0.0,10.0,4.0,3.0,0.5,0.05272895467160037,0.0005430155897607099,3.0599569754395474e-05,5.0,3.0,0.5174455990741503,1.0
15.0,0.012615643397813289,230.0,7.0,40.2,59.814379542046574,0.0014996109148562359,0.3380118651076963,429.43333333332964,0.0001728682694812494,5.0,6.0,4.0,7.0,0.0,0.0,69.0,9.0,10.0,0.5142857142857142,0.1180842279108175,0.0009651144753527637,4.1099460368098014e-05,54.0,10.0,0.21315426830180423,1.0
2.0,0.001682085786375105,146.0,11.0,78.5,67.5,0.0006934334673654429,0.29547497039937226,374.833333333331,0.0001143362487235764,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.00022677044500153735,4.560607340754585e-05,0.0,2.0,1.2847819165278291,2.0
1.0,0.0008410428931875525,12.0,12.0,12.0,0.0,2.8628547200210658e-05,0.2490013613085159,306.6785714285702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.00018483066198394116,1.3944750216481942e-06,0.0,1.0,-1.4355771739489251,3.0
109.0,0.09167367535744322,238.0,1.0,117.55963302752293,56.941694176105685,0.08185927144738438,0.4262047840802205,568.2166666666654,0.004080726937610437,56.0,57.0,19.0,4.0,2.0,2.0,3656.0,56.0,1410.0,0.6026163778457356,0.3409596821885296,0.002783967087070152,0.005378432537135095,3547.0,64.0,-2.8426417214699766,0.0
2.0,0.001682085786375105,56.0,13.0,34.5,21.5,0.0004293061246462289,0.27821282843022166,348.7619047619033,7.252989588984283e-07,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.08064516129032258,0.00018523351351366487,2.6325042681393077e-05,0.0,2.0,-2.3630606599165525,2.0
1.0,0.0008410428931875525,193.0,193.0,193.0,0.0,0.0007474553528072052,0.3166255916049037,398.83333333333036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0001636931614676773,4.6540687292239924e-05,0.0,1.0,2.1996091796198853,3.0
2.0,0.001682085786375105,159.0,17.0,88.0,71.0,0.0010532741619181977,0.3065974705831493,386.71666666666385,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.06832298136645963,0.0001838435998204734,6.93137059643833e-05,1.0,2.0,0.6992869929387115,3.0
3.0,0.0025231286795626574,230.0,2.0,83.66666666666667,103.70578040248715,0.0007038715943830039,0.33296122263498473,416.5999999999965,0.000624990119965519,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.6666666666666666,0.035789473684210524,0.00036953747446307286,2.9691403002787887e-05,2.0,2.0,0.14048768406122092,2.0
20.0,0.01682085786375105,238.0,26.0,122.45,69.53738203297561,0.01477568764762428,0.36039470756371406,464.4333333333288,2.0217940474567384e-05,7.0,3.0,1.0,0.0,0.0,3.0,125.0,13.0,10.0,0.5526315789473685,0.3078543570472856,0.000578063303527846,0.0009641041860741282,105.0,20.0,1.0786677570627161,1.0
4.0,0.00336417157275021,212.0,4.0,84.5,85.81812162940878,0.0019703032975019164,0.3289731077120588,413.5499999999959,2.5869423143932458e-06,1.0,2.0,1.0,1.0,0.0,1.0,8.0,4.0,2.0,0.6666666666666666,0.13340935005701254,0.0002816816613114882,0.00013028640665231346,4.0,4.0,1.2097716459981454,1.0
27.0,0.022708158116063918,230.0,1.0,27.925925925925927,44.28186312612014,0.0018543851500963744,0.3384962615896506,433.86666666666287,0.0022696529383699135,6.0,1.0,4.0,3.0,1.0,1.0,126.0,8.0,25.0,0.28205128205128205,0.09797475785148224,0.001878057825711119,4.08414180451784e-05,99.0,10.0,2.4878195637051954,1.0
54.0,0.045416316232127836,238.0,7.0,130.37037037037038,54.043979448941776,0.04417812124741758,0.38721752678239046,508.6833333333291,0.0002804198175958632,3.0,1.0,3.0,2.0,0.0,3.0,1121.0,35.0,136.0,0.7456324248777079,0.38929920632823967,0.0013331110899847671,0.0029136657886479466,1067.0,47.0,-0.2942202851289792,0.0
24.0,0.02018502943650126,230.0,12.0,141.375,64.2908835553948,0.019692533806323145,0.4033515903983234,513.2999999999959,0.0001449317558314287,0.0,3.0,1.0,2.0,0.0,0.0,229.0,17.0,15.0,0.7427536231884058,0.33284338307769457,0.000701668385540666,0.0012769474119220048,205.0,22.0,-0.7919559827116255,3.0
11.0,0.009251471825063078,230.0,5.0,39.09090909090909,62.03291581594485,0.0010839170845077621,0.33637523688017396,424.8666666666629,0.00019468679208911472,5.0,2.0,2.0,5.0,3.0,3.0,48.0,8.0,5.0,0.6727272727272727,0.11273317112733171,0.0008151783836978079,3.420366838715722e-05,37.0,7.0,-2.1991220102934292,2.0
2.0,0.001682085786375105,53.0,10.0,31.5,21.5,0.00011817668950875872,0.2726254516819693,339.59999999999866,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.1568627450980392,0.00030897949733955433,1.8467760123664477e-06,1.0,2.0,-0.1908933400313359,2.0
62.0,0.05214465937762826,224.0,41.0,136.5483870967742,42.97661683023382,0.05358812327458787,0.39711279646479186,521.88333333333,4.671639296130943e-05,10.0,0.0,0.0,6.0,9.0,4.0,1648.0,43.0,226.0,0.8387096774193549,0.42404092071611255,0.0014856522032145778,0.0035386241837708854,1586.0,55.0,-1.4691067138121479,0.0
26.0,0.021867115222876366,238.0,7.0,126.88461538461539,68.39327841640858,0.019424377712825222,0.3654125794202633,472.9333333333283,0.0001082454407351816,3.0,7.0,1.0,1.0,0.0,2.0,223.0,15.0,42.0,0.6061538461538462,0.312979683972912,0.0007348095474734996,0.001274541952508301,197.0,24.0,-0.8807877582686321,0.0
6.0,0.005046257359125315,19.0,6.0,10.666666666666666,4.678556282539399,0.00013227731723423555,0.2681074816540956,336.7952380952363,0.0,2.0,2.0,0.0,1.0,0.0,0.0,21.0,7.0,1.0,1.0,0.3829787234042553,0.0005507047279380333,5.431801214667434e-06,15.0,6.0,-0.3978646758082728,1.0
7.0,0.0058873002523128675,165.0,2.0,81.42857142857143,59.963934739039225,0.0031167270607581118,0.33685495056654047,426.71666666666295,4.710336385313936e-05,1.0,2.0,1.0,1.0,0.0,0.0,19.0,5.0,4.0,0.5714285714285714,0.16135734072022162,0.00040158747014745397,0.00019797936542792757,12.0,6.0,0.06217504226850716,2.0
6.0,0.005046257359125315,206.0,8.0,66.16666666666667,81.3007106706673,0.002285827733488886,0.33437527086248325,420.216666666662,6.098298953122274e-06,3.0,4.0,0.0,3.0,0.0,1.0,17.0,5.0,3.0,0.7333333333333333,0.10773638968481375,0.0003174533955135677,0.00014873620451646107,11.0,6.0,1.6907110079767147,1.0
192.0,0.16148023549201007,238.0,2.0,91.625,58.46468841674149,0.11382008387501398,0.48126057729677707,645.6000000000006,0.01458088880875452,9.0,47.0,32.0,50.0,8.0,0.0,6785.0,56.0,9907.0,0.35956588132635253,0.24631598129366766,0.0048007009932355335,0.007412066685443122,6593.0,64.0,1.0270977558854903,0.0
9.0,0.007569386038687973,230.0,8.0,41.55555555555556,67.9118891752985,0.0009393093482235424,0.33532466118293325,422.36666666666304,0.00037548488867973737,0.0,3.0,0.0,6.0,1.0,1.0,39.0,7.0,6.0,0.8333333333333334,0.10809763657497094,0.000703882679165512,3.2728632983987995e-05,30.0,7.0,-0.4383896105170756,2.0
