degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
20.0,0.8333333333333333,19.0,3.0,7.35,3.6506848672543617,0.38341174530374217,0.8571428571428571,22.0,0.22256330625895845,0.0,2.0,4.0,5.0,0.0,0.0,72.0,5.0,30.0,0.2736842105263158,0.19761410788381742,0.09705249056557637,0.08316579272884328,52.0,5.0,-1.9039086963663385,
8.0,0.3333333333333333,20.0,7.0,11.0,3.840572873934304,0.20564870554269474,0.5853658536585366,15.833333333333334,0.009851621808143548,1.0,3.0,0.0,0.0,1.0,1.0,23.0,4.0,8.0,0.5357142857142857,0.2926829268292683,0.04019181127468159,0.04469176070452222,15.0,5.0,1.8066164649573653,
8.0,0.3333333333333333,20.0,5.0,11.375,5.242554243877692,0.20913739045901528,0.6,16.0,0.010990338164251207,4.0,4.0,0.0,4.0,1.0,1.0,25.0,5.0,6.0,0.6071428571428571,0.284037558685446,0.04085628701983911,0.04543284540520243,17.0,5.0,0.9314439634191307,
4.0,0.16666666666666666,20.0,5.0,13.75,6.139014578904337,0.1159872919351437,0.5454545454545454,14.0,0.003381642512077295,2.0,0.0,0.0,2.0,1.0,1.0,7.0,3.0,3.0,0.5,0.33636363636363636,0.023507185222865212,0.025196274202911557,3.0,4.0,0.018624351135098274,
3.0,0.125,20.0,11.0,16.666666666666668,4.027681991198191,0.10636321623717128,0.5333333333333333,13.5,0.0,2.0,1.0,0.0,0.0,1.0,1.0,6.0,4.0,1.0,1.0,0.4426229508196721,0.018658557884549568,0.02312272385111392,3.0,3.0,0.978540572623327,
5.0,0.20833333333333331,20.0,5.0,10.0,5.513619500836088,0.11508747997964223,0.5333333333333333,14.166666666666668,0.005374396135265701,1.0,1.0,0.0,1.0,1.0,1.0,10.0,4.0,3.0,0.5,0.25,0.028316919588568384,0.024958594294025825,5.0,4.0,-0.554647764889816,
11.0,0.4583333333333333,20.0,3.0,9.727272727272727,5.378254348272378,0.2560687924708141,0.6486486486486487,17.5,0.041004406221797525,3.0,0.0,1.0,6.0,2.0,2.0,35.0,5.0,12.0,0.43636363636363634,0.2459016393442623,0.05508332730181794,0.05562028129669124,24.0,5.0,0.08056986734954433,
19.0,0.7916666666666666,20.0,1.0,7.631578947368421,4.119408827231473,0.37271946184007054,0.8275862068965517,21.5,0.22938432340606257,1.0,3.0,5.0,3.0,3.0,3.0,69.0,5.0,29.0,0.29239766081871343,0.1984521835268104,0.09560663580692977,0.08088814851130437,50.0,5.0,1.2696530109748647,
11.0,0.4583333333333333,20.0,5.0,9.272727272727273,5.171440964846506,0.25244913303545086,0.6486486486486487,17.5,0.03360938578329883,2.0,1.0,2.0,2.0,4.0,4.0,37.0,5.0,11.0,0.4727272727272727,0.2562225475841874,0.05457092458635914,0.05484454395359174,26.0,5.0,-0.6893795554277115,
11.0,0.4583333333333333,19.0,4.0,8.454545454545455,4.120097888590785,0.2333030397062925,0.6486486486486487,17.5,0.04385451505016722,0.0,2.0,3.0,1.0,0.0,0.0,30.0,4.0,11.0,0.34545454545454546,0.23734177215189872,0.05513554950311148,0.05060053404732798,19.0,5.0,2.0112938886932894,
9.0,0.375,20.0,5.0,9.555555555555555,5.619630496178574,0.19883632958469194,0.6153846153846154,16.5,0.035495301799649624,2.0,0.0,2.0,2.0,2.0,2.0,23.0,4.0,8.0,0.3888888888888889,0.21739130434782608,0.04626729299866703,0.04315994222592496,14.0,5.0,0.16860894184167424,
12.0,0.5,20.0,5.0,9.25,5.0518148554092255,0.26880904114133614,0.6666666666666666,18.0,0.053070419918246,2.0,1.0,2.0,2.0,4.0,4.0,38.0,5.0,15.0,0.3939393939393939,0.24043062200956938,0.059199115761070856,0.05836094695053703,26.0,5.0,1.4324080979653018,
9.0,0.375,20.0,5.0,10.444444444444445,5.31478255248951,0.2218691342906384,0.6153846153846154,16.5,0.01979216435738175,3.0,0.0,3.0,1.0,2.0,2.0,27.0,5.0,8.0,0.5,0.2727272727272727,0.04522277809053302,0.04821888813066947,18.0,5.0,-0.9049252316398285,
5.0,0.20833333333333331,20.0,4.0,10.0,5.761944116355173,0.11402607608506202,0.5454545454545454,14.333333333333334,0.005834262356001487,3.0,3.0,1.0,0.0,3.0,3.0,10.0,4.0,3.0,0.5,0.22302158273381295,0.028496674109942978,0.024719224021871204,5.0,4.0,0.2011718413017938,
7.0,0.29166666666666663,19.0,5.0,9.714285714285714,4.164965639175215,0.16425905655740602,0.5853658536585366,15.5,0.010929951690821256,0.0,2.0,1.0,4.0,0.0,0.0,17.0,4.0,7.0,0.47619047619047616,0.26277372262773724,0.03648990296058363,0.03566997392474051,10.0,5.0,0.4994308107359326,
5.0,0.20833333333333331,20.0,7.0,11.8,4.445222154178574,0.1333371632888586,0.5454545454545454,14.333333333333334,0.0032091097308488614,1.0,3.0,0.0,0.0,1.0,1.0,10.0,3.0,5.0,0.5,0.31210191082802546,0.02733556617736804,0.028967446760965108,5.0,5.0,1.5241327236872382,
