degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
16.0,0.6956521739130435,13.0,3.0,7.8125,3.3018697354680726,0.3447351890913047,0.7666666666666667,19.5,0.14027182678077818,0.0,3.0,3.0,1.0,0.0,0.0,53.0,5.0,20.0,0.30833333333333335,0.20261941448382126,0.07942149337370785,0.07490434745802477,37.0,5.0,0.9911423959889676,
11.0,0.4782608695652174,16.0,5.0,8.909090909090908,3.6792920626996475,0.2601355573200884,0.6571428571428571,17.0,0.050894033502729155,1.0,2.0,1.0,3.0,1.0,1.0,29.0,5.0,9.0,0.32727272727272727,0.25225225225225223,0.05550233376683246,0.05649784113459965,18.0,5.0,1.286985766189347,
13.0,0.5652173913043478,16.0,5.0,8.692307692307692,3.6665770116347645,0.29763613083360646,0.696969696969697,18.0,0.07676915298398675,1.0,1.0,1.0,4.0,1.0,1.0,39.0,5.0,11.0,0.3333333333333333,0.2264957264957265,0.0649765642353631,0.06451019790958779,26.0,5.0,-0.7105099493365132,
3.0,0.13043478260869565,16.0,11.0,12.666666666666666,2.357022603955158,0.09108172536468871,0.5227272727272727,12.833333333333334,0.0012296881862099253,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,0.3333333333333333,0.3333333333333333,0.019229695028291763,0.019694803943474472,1.0,3.0,0.042665838573519764,
5.0,0.21739130434782608,16.0,6.0,10.6,3.7202150475476548,0.13057678921465982,0.5609756097560976,14.0,0.00505050505050505,1.0,1.0,0.0,0.0,1.0,1.0,9.0,3.0,4.0,0.4,0.2689655172413793,0.028402411722495115,0.028171386920746052,4.0,5.0,-0.07829894365109603,
7.0,0.30434782608695654,16.0,5.0,9.428571428571429,3.6589281356759136,0.169323919188461,0.575,14.833333333333334,0.016983499592195247,3.0,2.0,1.0,3.0,1.0,1.0,14.0,4.0,6.0,0.3333333333333333,0.26865671641791045,0.03744017803399712,0.03670620423643933,7.0,5.0,0.0851947246988151,
13.0,0.5652173913043478,16.0,5.0,9.153846153846153,3.548480798360245,0.31149368348375406,0.696969696969697,18.0,0.06852365452109696,2.0,4.0,4.0,2.0,2.0,2.0,43.0,5.0,15.0,0.38461538461538464,0.22796352583586627,0.06439775437244256,0.06755374999235488,30.0,5.0,-0.5035751063527809,
10.0,0.43478260869565216,16.0,6.0,9.8,3.370459909270543,0.2523861313253281,0.6388888888888888,16.5,0.0316734203562848,4.0,0.0,2.0,0.0,3.0,3.0,29.0,5.0,8.0,0.4222222222222222,0.2629815745393635,0.050466133336992236,0.05473972071120125,19.0,5.0,-2.014001145431174,
11.0,0.4782608695652174,13.0,3.0,8.272727272727273,3.51854590552066,0.23952582384340698,0.6571428571428571,17.0,0.06664313946922643,0.0,3.0,3.0,5.0,3.0,0.0,26.0,4.0,13.0,0.2727272727272727,0.2087912087912088,0.05668506340913283,0.051836557781273045,15.0,5.0,0.6636158905823556,
13.0,0.5652173913043478,16.0,5.0,8.615384615384615,3.6276388069389527,0.29603638337624305,0.696969696969697,18.0,0.07611786480072925,3.0,0.0,2.0,0.0,4.0,3.0,42.0,5.0,18.0,0.3717948717948718,0.20726495726495728,0.0649112531888233,0.06414769818431791,29.0,5.0,-0.21174252549760675,
