degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
14.0,0.5,17.0,4.0,9.071428571428571,3.4736618330822364,0.31981644173611923,0.6086956521739131,20.416666666666664,0.10135458741901315,1.0,3.0,1.0,3.0,0.0,0.0,51.0,5.0,18.0,0.4065934065934066,0.23015873015873015,0.06078645771252248,0.06992935458203914,37.0,5.0,-0.004476567890912812,
6.0,0.21428571428571427,17.0,5.0,11.166666666666666,3.8908725099762504,0.16017138823388732,0.49122807017543857,15.91666666666667,0.01815595183942523,2.0,1.0,0.0,0.0,1.0,1.0,12.0,4.0,4.0,0.4,0.3440366972477064,0.028568683816529217,0.03502855699358222,6.0,5.0,-0.6304022979266952,
12.0,0.42857142857142855,17.0,5.0,9.5,3.905124837953327,0.2808989572245259,0.5714285714285714,19.249999999999996,0.07741254621506723,3.0,2.0,2.0,4.0,1.0,1.0,38.0,5.0,10.0,0.3939393939393939,0.24708624708624707,0.05256354935437766,0.06142501277359074,26.0,5.0,0.8238228834796975,
9.0,0.3214285714285714,17.0,5.0,9.555555555555555,4.139541335599368,0.2159499874707475,0.5384615384615384,17.749999999999996,0.03906194956615125,3.0,0.0,4.0,2.0,1.0,1.0,26.0,5.0,8.0,0.4722222222222222,0.2597402597402597,0.040833350127311416,0.04725943722081739,17.0,5.0,-0.02811297778942544,
4.0,0.14285714285714285,17.0,6.0,11.25,4.437059837324712,0.10880038229183331,0.4375,14.366666666666667,0.0014109347442680775,2.0,0.0,0.0,0.0,1.0,1.0,8.0,4.0,2.0,0.6666666666666666,0.3218390804597701,0.020450156805782348,0.023813069044752493,4.0,4.0,0.02764061439967347,
17.0,0.6071428571428571,14.0,4.0,8.352941176470589,3.1981828750748673,0.36976487163772026,0.5957446808510638,21.53333333333333,0.10319622863390375,0.0,4.0,6.0,5.0,2.0,2.0,67.0,5.0,26.0,0.36764705882352944,0.22029543994861914,0.07241334539593364,0.08091689965834171,50.0,5.0,0.22192114827763906,
9.0,0.3214285714285714,17.0,5.0,9.777777777777779,4.0764302950764755,0.2269367649112456,0.5,17.366666666666667,0.017314960172103024,2.0,1.0,3.0,1.0,3.0,3.0,27.0,5.0,7.0,0.5,0.30131004366812225,0.04017586197813209,0.04971128287735046,18.0,5.0,1.125013554459464,
12.0,0.42857142857142855,17.0,5.0,9.166666666666666,3.975620147292188,0.2832877071605003,0.5384615384615384,19.03333333333333,0.0444600489768557,4.0,0.0,4.0,2.0,4.0,4.0,39.0,5.0,11.0,0.4090909090909091,0.2657601977750309,0.052329413042912075,0.06200028632682219,27.0,5.0,0.5869945807963303,
14.0,0.5,17.0,1.0,8.714285714285714,4.0783149781771995,0.30763896999009316,0.6086956521739131,20.416666666666664,0.1612593185422317,2.0,1.0,5.0,0.0,3.0,3.0,46.0,5.0,14.0,0.3516483516483517,0.22151321786690975,0.06418399773869597,0.06727809371914291,32.0,5.0,-1.1142848453520082,
9.0,0.3214285714285714,17.0,1.0,9.88888888888889,4.817662975261955,0.2146175876605431,0.509090909090909,17.53333333333333,0.08505775529585052,3.0,2.0,2.0,4.0,1.0,1.0,23.0,5.0,6.0,0.3888888888888889,0.2540983606557377,0.04399064102178287,0.04696764697320072,14.0,5.0,1.6170247310475336,
8.0,0.2857142857142857,14.0,3.0,8.625,3.998046397929869,0.16860746659020948,0.5490196078431373,17.5,0.26642635686753335,0.0,4.0,3.0,5.0,2.0,2.0,17.0,4.0,6.0,0.32142857142857145,0.21726190476190477,0.04151343656039337,0.03675837412795302,9.0,5.0,-0.9250140396302027,
11.0,0.39285714285714285,17.0,5.0,8.272727272727273,4.002065582373661,0.23104990520932145,0.5283018867924528,18.53333333333333,0.05464570443562038,1.0,0.0,3.0,1.0,0.0,0.0,29.0,5.0,10.0,0.32727272727272727,0.21656050955414013,0.04923764313739325,0.05047357820760216,18.0,5.0,1.1369901613011821,
6.0,0.21428571428571427,14.0,5.0,10.0,2.8284271247461903,0.14479726114210834,0.4745762711864407,15.866666666666667,0.0071250508750508755,0.0,3.0,0.0,3.0,2.0,2.0,14.0,4.0,5.0,0.5333333333333333,0.25742574257425743,0.028891937184414487,0.03161747109468914,8.0,5.0,-0.695332586788677,
8.0,0.2857142857142857,17.0,4.0,9.5,4.6097722286464435,0.18802664172457048,0.49122807017543857,16.866666666666667,0.02496148031862317,4.0,2.0,2.0,1.0,4.0,4.0,19.0,5.0,5.0,0.39285714285714285,0.24383561643835616,0.036792521537171816,0.04113822211433952,11.0,5.0,-0.36389013851817853,
5.0,0.17857142857142855,17.0,8.0,12.0,3.286335345030997,0.14503650420195166,0.4745762711864407,15.250000000000004,0.006550768455530361,2.0,1.0,0.0,0.0,3.0,3.0,12.0,4.0,3.0,0.7,0.3918918918918919,0.02445733087080219,0.03174542581059155,7.0,5.0,-0.029047820241586485,
8.0,0.2857142857142857,17.0,5.0,10.0,4.092676385936225,0.19596399031768075,0.4827586206896552,16.7,0.013592616533793003,2.0,1.0,0.0,0.0,5.0,3.0,21.0,5.0,6.0,0.4642857142857143,0.26455026455026454,0.03618896317079023,0.04284385936215982,13.0,5.0,-2.8110786591656933,
6.0,0.21428571428571427,17.0,4.0,9.666666666666666,4.268749491621899,0.14037310486623608,0.4666666666666667,15.700000000000001,0.007656452894548132,3.0,3.0,1.0,3.0,3.0,5.0,13.0,4.0,5.0,0.4666666666666667,0.24242424242424243,0.02864076317356498,0.030701190275783295,7.0,5.0,-0.16235729939608948,
5.0,0.17857142857142855,17.0,9.0,12.6,2.727636339397171,0.15136172263796366,0.4666666666666667,15.366666666666667,0.0011904761904761904,4.0,3.0,0.0,2.0,4.0,4.0,13.0,5.0,2.0,0.8,0.3584905660377358,0.024012147432363344,0.033129230118492725,8.0,5.0,-0.7106990124557174,
5.0,0.17857142857142855,17.0,9.0,12.2,3.059411708155671,0.14980848308021152,0.45161290322580644,15.033333333333335,0.0011022927689594356,1.0,2.0,0.0,3.0,0.0,0.0,13.0,4.0,4.0,0.8,0.38666666666666666,0.024047320744433,0.03284704072864115,8.0,5.0,0.7244565795365719,
