degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
16.0,0.64,16.0,5.0,8.1875,3.263792847286727,0.3519035170328546,0.7142857142857143,20.333333333333332,0.12277724146338698,0.0,1.0,4.0,2.0,0.0,0.0,57.0,5.0,23.0,0.3416666666666667,0.19317356572258534,0.07595736116007559,0.07553031496056356,41.0,5.0,-0.9065954908201818,
8.0,0.32,16.0,5.0,10.75,4.293891009329417,0.21363480377162178,0.5813953488372093,16.333333333333332,0.02525429146017381,3.0,3.0,1.0,4.0,1.0,1.0,22.0,5.0,7.0,0.5,0.24819277108433735,0.04011690583940513,0.04586618526952999,14.0,5.0,0.21926413385776464,
5.0,0.2,16.0,1.0,11.2,6.177378084592201,0.13344679493870645,0.5319148936170213,14.666666666666668,0.08153501400560224,3.0,3.0,1.0,0.0,1.0,1.0,9.0,4.0,3.0,0.4,0.2727272727272727,0.03195203250367259,0.02869125002118553,4.0,4.0,0.5154978879075208,
8.0,0.32,16.0,5.0,9.5,4.06201920231798,0.19996791005935063,0.5681818181818182,16.166666666666668,0.020998538011695905,3.0,3.0,2.0,3.0,1.0,1.0,20.0,4.0,6.0,0.42857142857142855,0.2590529247910863,0.0402166278041314,0.042924347140859194,12.0,5.0,1.3823029285351942,
8.0,0.32,16.0,5.0,8.25,3.3819373146171707,0.17239179454193865,0.5681818181818182,16.166666666666668,0.025642310905468795,3.0,0.0,3.0,1.0,1.0,1.0,17.0,4.0,7.0,0.32142857142857145,0.20123839009287925,0.04046463070468396,0.03691511892752548,9.0,5.0,-0.3716256970011301,
7.0,0.28,16.0,6.0,11.142857142857142,4.356557337707688,0.19572306117831917,0.5555555555555556,15.666666666666668,0.009846171802054155,3.0,4.0,0.0,4.0,1.0,1.0,19.0,5.0,4.0,0.5714285714285714,0.2761904761904762,0.03539654095261692,0.042052249231246404,12.0,5.0,-0.2785524427956325,
16.0,0.64,16.0,5.0,8.125,3.276335605520289,0.3524230848929905,0.7352941176470589,20.5,0.1362751675569013,1.0,0.0,3.0,1.0,2.0,2.0,56.0,5.0,21.0,0.3333333333333333,0.1976487876561352,0.07628882102184452,0.07561802055258794,40.0,5.0,0.7704216111806973,
16.0,0.64,16.0,5.0,7.9375,3.4181272284688293,0.3449088603861235,0.7352941176470589,20.5,0.15013962697089633,2.0,2.0,5.0,3.0,3.0,3.0,51.0,5.0,16.0,0.2916666666666667,0.2028657616892911,0.07658791801567373,0.07397829372576377,35.0,5.0,-0.45117604824487906,
9.0,0.36,16.0,6.0,9.777777777777779,3.5832256659104664,0.2241842903230774,0.5952380952380952,16.833333333333332,0.026154135338345867,2.0,2.0,0.0,0.0,3.0,3.0,25.0,4.0,9.0,0.4444444444444444,0.22448979591836735,0.04428097182617362,0.048098440540459975,16.0,5.0,-1.192146229541424,
8.0,0.32,16.0,5.0,10.375,4.442338910979215,0.20186956950000629,0.5681818181818182,16.166666666666668,0.02720502235982112,4.0,4.0,1.0,0.0,4.0,4.0,18.0,4.0,7.0,0.35714285714285715,0.25,0.040100045936608195,0.04333109328589878,10.0,5.0,0.931653385647517,
10.0,0.4,16.0,1.0,8.4,4.340506882842141,0.21879351707067893,0.6097560975609756,17.333333333333332,0.10870687134502925,0.0,1.0,4.0,2.0,4.0,0.0,25.0,5.0,8.0,0.3333333333333333,0.19548872180451127,0.05319858329603863,0.04694187184746272,15.0,5.0,-0.5749328707543607,
6.0,0.24,16.0,5.0,11.333333333333334,4.749268949591669,0.17331387347158697,0.5319148936170213,15.000000000000002,0.005065934065934066,4.0,5.0,1.0,0.0,4.0,4.0,16.0,5.0,3.0,0.6666666666666666,0.3063063063063063,0.03109685423356229,0.0372668029559783,10.0,5.0,-1.6684608347639365,
10.0,0.4,16.0,5.0,8.5,3.9560080889704965,0.21895164641941595,0.5952380952380952,17.166666666666664,0.04904846439250464,1.0,3.0,1.0,5.0,2.0,2.0,23.0,4.0,7.0,0.28888888888888886,0.19963031423290203,0.04930558282383065,0.04693791394533768,13.0,5.0,0.34528971109129813,
7.0,0.28,16.0,5.0,10.0,4.242640687119285,0.17813168453830194,0.5681818181818182,15.833333333333334,0.013719277454571572,4.0,4.0,2.0,0.0,0.0,4.0,18.0,5.0,4.0,0.5238095238095238,0.24912280701754386,0.036038948932206806,0.0382211913127947,11.0,5.0,0.48526296087605136,
7.0,0.28,16.0,5.0,7.857142857142857,3.522522287410843,0.15143657539242475,0.5555555555555556,15.666666666666668,0.022154071075123707,1.0,2.0,2.0,3.0,2.0,2.0,13.0,3.0,6.0,0.2857142857142857,0.2545454545454545,0.03709418840768711,0.03247041583923844,6.0,5.0,1.4017110732663733,
7.0,0.28,16.0,5.0,8.857142857142858,3.481730744843983,0.15493185008788463,0.5555555555555556,15.666666666666668,0.021159645909645912,2.0,2.0,2.0,3.0,0.0,3.0,15.0,3.0,8.0,0.38095238095238093,0.1984732824427481,0.036374147370924335,0.033177145884207435,8.0,5.0,0.5380767406339317,
7.0,0.28,16.0,5.0,10.714285714285714,4.831867007225076,0.1880568682064321,0.5681818181818182,15.833333333333334,0.01880952380952381,4.0,3.0,1.0,0.0,5.0,4.0,18.0,5.0,4.0,0.5238095238095238,0.24919093851132687,0.03598460447848134,0.04038068253322577,11.0,5.0,-0.7455775062517647,
5.0,0.2,16.0,7.0,9.8,3.249615361854384,0.1211784218302004,0.5102040816326531,14.333333333333336,0.005423902894491131,0.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,4.0,0.4,0.24444444444444444,0.027095239616963515,0.025985998831111842,4.0,5.0,-1.6866143250243473,
6.0,0.24,16.0,6.0,10.333333333333334,4.109609335312651,0.15655010887755702,0.5208333333333334,14.833333333333336,0.009487394957983192,4.0,0.0,1.0,1.0,4.0,4.0,13.0,4.0,5.0,0.4666666666666667,0.27884615384615385,0.03127804766792857,0.03364300712629087,7.0,5.0,0.05189550328704223,
5.0,0.2,16.0,6.0,10.4,4.586937976471886,0.13313053624123244,0.5208333333333334,14.500000000000002,0.005328216374269007,3.0,3.0,0.0,4.0,1.0,1.0,10.0,4.0,3.0,0.5,0.2624113475177305,0.027055821684769155,0.028587762701344114,5.0,5.0,-0.6081714320368442,
5.0,0.2,16.0,7.0,11.0,4.09878030638384,0.1381578173543263,0.5319148936170213,14.666666666666668,0.004698412698412699,1.0,4.0,0.0,4.0,2.0,2.0,10.0,4.0,3.0,0.5,0.28378378378378377,0.026815382532230328,0.029678759684446835,5.0,5.0,0.33551783105102106,
6.0,0.24,16.0,5.0,10.0,4.43471156521669,0.15256607074054634,0.5319148936170213,15.000000000000002,0.008467590544989925,0.0,1.0,2.0,2.0,0.0,0.0,13.0,4.0,5.0,0.4666666666666667,0.23671497584541062,0.03137689513580041,0.03275511968940168,7.0,5.0,0.033822683311585555,
5.0,0.2,16.0,6.0,11.0,4.2895221179054435,0.1371310034014885,0.5208333333333334,14.500000000000002,0.0026587301587301586,3.0,5.0,0.0,4.0,1.0,1.0,12.0,4.0,3.0,0.7,0.25675675675675674,0.02690311005181113,0.029434685001964757,7.0,5.0,-0.6399542406798073,
5.0,0.2,10.0,7.0,8.4,1.3564659966250536,0.10845619695454005,0.49019607843137253,14.083333333333334,0.006111111111111111,3.0,0.0,0.0,1.0,1.0,1.0,9.0,3.0,4.0,0.4,0.22807017543859648,0.027528873559830663,0.02319127512273946,4.0,5.0,-3.0737057602724183,
1.0,0.04,10.0,10.0,10.0,0.0,0.024130127891688356,0.38461538461538464,10.416666666666668,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.010291009180679203,0.005165101962827491,0.0,1.0,0.3761074747178965,
1.0,0.04,5.0,5.0,5.0,0.0,0.014738887479033817,0.352112676056338,9.499999999999998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.011200855262370399,0.0031569519060073393,0.0,1.0,-1.496003816154552,


1.0,0.2,3.0,3.0,3.0,0.0,0.3138887725731345,0.4166666666666667,2.583333333333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.10629496216321946,0.35280253123016936,0.0,1.0,-0.198098129496961,
3.0,0.6000000000000001,2.0,1.0,1.3333333333333333,0.4714045207910317,0.5987413543270809,0.625,3.8333333333333335,0.7000000000000001,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.2869217393655811,-0.30561502932768464,0.0,1.0,-0.21663577195346936,
2.0,0.4,3.0,2.0,2.5,0.5,0.5130917331299326,0.625,3.5,0.6000000000000001,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.19110990992240504,0.5708464868474101,0.0,1.0,0.6712612205241206,
2.0,0.4,2.0,1.0,1.5,0.5,0.3761747686908938,0.5,3.1666666666666665,0.4,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.1995634786263893,-0.18888047559730503,0.0,1.0,1.3959641936177707,
1.0,0.2,2.0,2.0,2.0,0.0,0.19921316301316463,0.35714285714285715,2.333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.10981494775918557,0.21804395561724083,0.0,1.0,-1.3970501173759824,
1.0,0.2,3.0,3.0,3.0,0.0,0.3138887725731345,0.4166666666666667,2.5833333333333335,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.10629496216321946,0.35280253123016936,0.0,1.0,-0.3868223275016926,


16.0,0.64,16.0,4.0,8.1875,3.376735664810025,0.351531959834313,0.7142857142857143,20.333333333333332,0.11597565416179968,0.0,1.0,3.0,5.0,0.0,0.0,57.0,5.0,23.0,0.3416666666666667,0.19317356572258534,0.0755844648468587,0.07533189294204885,41.0,5.0,0.9995870716123929,
8.0,0.32,16.0,5.0,10.75,4.293891009329417,0.21340965439120577,0.5813953488372093,16.333333333333332,0.02525429146017381,3.0,3.0,0.0,0.0,1.0,1.0,22.0,5.0,7.0,0.5,0.24819277108433735,0.040122500112637766,0.045738599148420586,14.0,5.0,0.022952281811223864,
4.0,0.16,16.0,7.0,13.75,3.897114317029974,0.1315349182111439,0.5102040816326531,14.000000000000002,0.001535014005602241,3.0,3.0,0.0,0.0,1.0,1.0,8.0,4.0,2.0,0.6666666666666666,0.4077669902912621,0.022295661815958014,0.028250728503167354,4.0,4.0,0.7414609434914972,
8.0,0.32,16.0,5.0,9.5,4.06201920231798,0.19964346802605606,0.5681818181818182,16.166666666666668,0.020998538011695905,3.0,3.0,0.0,2.0,1.0,1.0,20.0,4.0,6.0,0.42857142857142855,0.2590529247910863,0.0402155636012783,0.04279218377296375,12.0,5.0,0.86194433013466,
8.0,0.32,16.0,5.0,8.375,3.461845606031557,0.1727168320527187,0.5813953488372093,16.333333333333336,0.028253422016579915,3.0,0.0,0.0,0.0,1.0,1.0,17.0,4.0,7.0,0.32142857142857145,0.19696969696969696,0.04092085611163497,0.036889720548565604,9.0,5.0,1.260560236967831,
