degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
14.0,0.5185185185185185,16.0,1.0,8.285714285714286,3.917516914514883,0.3198204042146201,0.6136363636363636,19.83333333333333,0.15465734408042098,2.0,3.0,3.0,1.0,0.0,0.0,47.0,5.0,15.0,0.3626373626373626,0.23408423114593535,0.0668754664115446,0.07131305173473176,33.0,5.0,1.3078461800087586,
9.0,0.3333333333333333,16.0,5.0,9.444444444444445,3.402976184691901,0.22614642645547742,0.5510204081632653,17.33333333333333,0.04098360882548916,1.0,2.0,1.0,2.0,1.0,1.0,24.0,5.0,6.0,0.4166666666666667,0.28159645232815966,0.04242535557117311,0.05041747822567071,15.0,5.0,-0.21435061842253297,
1.0,0.037037037037037035,14.0,14.0,14.0,0.0,0.03492153258607265,0.38571428571428573,11.500000000000002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.009417454110462799,0.007800853602971312,0.0,1.0,-0.016767746534791305,
10.0,0.37037037037037035,16.0,5.0,9.0,4.049691346263317,0.23379434182014502,0.5094339622641509,17.333333333333332,0.0358755797858362,3.0,4.0,2.0,0.0,1.0,1.0,28.0,4.0,10.0,0.4,0.23243243243243245,0.04623654918981252,0.05210725492262648,18.0,5.0,0.14112445560391573,
4.0,0.14814814814814814,16.0,8.0,12.25,3.031088913245535,0.12379816272853039,0.45,14.166666666666668,0.001317663817663818,4.0,4.0,0.0,2.0,1.0,1.0,9.0,4.0,2.0,0.8333333333333334,0.358695652173913,0.021163058658123363,0.027649319172771122,5.0,4.0,-0.2920994948336024,
9.0,0.3333333333333333,16.0,5.0,10.222222222222221,3.764683188021648,0.23832574725626024,0.5510204081632653,17.33333333333333,0.035899013142602895,4.0,4.0,1.0,5.0,1.0,1.0,27.0,5.0,7.0,0.5,0.2790224032586558,0.04229867345169235,0.05310007724938867,18.0,5.0,0.6053782511830297,
16.0,0.5925925925925926,15.0,4.0,8.1875,3.06632414300902,0.3640270587144933,0.6428571428571429,20.83333333333333,0.13893395303651712,0.0,1.0,6.0,4.0,2.0,2.0,61.0,5.0,21.0,0.375,0.2247191011235955,0.07156729578329507,0.08116590645071901,45.0,5.0,-0.10211236365884606,
11.0,0.4074074074074074,16.0,4.0,9.181818181818182,3.8569460791993504,0.27262605552990815,0.5192307692307693,17.833333333333332,0.03432863432863432,3.0,0.0,2.0,0.0,4.0,3.0,36.0,5.0,10.0,0.45454545454545453,0.2667660208643815,0.05005287962164872,0.06087329974162343,25.0,5.0,0.5774587134659541,
15.0,0.5555555555555556,16.0,4.0,8.4,3.2,0.3466410886597422,0.627906976744186,20.33333333333333,0.11766483753663241,1.0,2.0,4.0,2.0,3.0,4.0,55.0,5.0,18.0,0.38095238095238093,0.22935779816513763,0.06756518297871207,0.07724056482457133,40.0,5.0,-1.028043861049309,
9.0,0.3333333333333333,16.0,4.0,9.555555555555555,4.192880503136268,0.2158993418103971,0.5869565217391305,17.833333333333336,0.326919163457625,3.0,0.0,0.0,3.0,5.0,3.0,26.0,5.0,8.0,0.4722222222222222,0.22526315789473683,0.049635282519538,0.04799428502448962,17.0,5.0,-0.8628663370674327,
